grupo,short_id,resultado_final,tipo_objecion_principal,concesion_ante_objecion,cierre_operativo,tono_agente,resultado_confianza,resultado_evidencia,objecion_evidencia,concesion_evidencia,cierre_evidencia
humano,audioh18-50e0f632-1spk,compromiso_vago,economica,no,no,cordial,media,"dice pagar el 20 del otro mes, sin monto ni cierre",no tiene la plata para la fecha pactada,agente solo notifica al área encargada,no se confirma monto ni canal de pago
humano,audioh19-635a7986-1spk,compromiso_firme,economica,si,si,cordial,alta,"corre fecha al 30 agosto, paga 1.268.100",no alcanzó a reunir el dinero,agente corre la fecha al 30 de agosto,"monto 1.268.100, fecha 30 agosto, acuerdo enviado"
humano,audioh20-63b9a147-2spk,compromiso_firme,sin_objecion,no_aplica,si,cordial,media,confirma pago primera cuota de 136 mil,solo no había revisado el acuerdo enviado,no hubo objeción real de la deudora,"número de convenio, cédula, cuota 136 mil"
humano,audioh21-66c2db61-2spk,compromiso_firme,logistica,si,si,cordial,alta,"pagará mañana por plataforma, 145 mil",hoy no puede acceder hasta la oficina,agente aclara que puede pagar por plataforma,"plataforma, mañana en la mañana, 145 mil"
humano,audioh22-67197ac4-2spk,recontacto,desconocimiento_desconfianza,no,no,cordial,media,"acuerda acercarse a oficina, agente llama próxima semana",confundido por llamadas contradictorias de varias entidades,"agente solo explica, no ofrece nada nuevo",no se define fecha ni monto de pago
humano,audioh23-6854b6cc-3spk,compromiso_vago,logistica,no,no,cordial,media,dice que pagará hoy pero sin monto confirmado,"está trabajando, pide que llamen a la una","agente no ofrece nada nuevo, sigue con el trámite",no se menciona canal ni monto de pago
humano,audioh24-693045ed-2spk,recontacto,economica,no,no,cordial,alta,agente dice que se comunicará posteriormente,"no trabaja, está enfermo, sin ingresos",agente no ofrece plan ni monto nuevo,no se define fecha ni monto de pago
humano,audioh25-6bbff5d5-2spk,compromiso_firme,sin_objecion,no_aplica,si,cordial,alta,"confirma acuerdo de 250 mil mensuales, primera cuota 30 julio","deudor solo confirma datos, sin resistencia",no hubo objeción real,medios de pago enviados por WhatsApp y correo
humano,audioh26-73ddf5ba-1spk,compromiso_firme,economica,si,si,cordial,alta,compromete pago el 29 de agosto por 260.600,no ha podido levantar los 260 mil pesos,agente corre la fecha al 29 de agosto,"acuerdo y medios de pago enviados, fecha 29 agosto"
humano,audioh27-74aa7e2d-2spk,compromiso_firme,sin_objecion,no_aplica,si,cordial,alta,"23 cuotas de 102 mil, fecha 30 de cada mes",acepta la oferta aprobada sin resistencia,no hubo objeción real del deudor,"medios de pago enviados, cuotas y fechas claras"
humano,audioh28-74b16f62-2spk,recontacto,desconocimiento_desconfianza,si,no,cordial,media,agente escalará caso si deudora envía soportes,"disputa el monto adeudado, dice pagó ya",ofrece congelar intereses si envía comprobante,"no se define monto, fecha ni pago concreto"
humano,audioh29-77d258d0-2spk,compromiso_firme,economica,si,si,cordial,alta,acuerda pagar 88 mil el 15 de agosto,"no tiene plata, le pagan quincenal",agente corre fecha al 15 de agosto,"pagar en Efecty/corresponsal, foto de recibo"
humano,audioh30-7ea6c8f3-1spk,compromiso_vago,economica,no,no,cordial,media,"dice mañana o la otra semana, sin fecha firme",no pudo cuadrar la plata prestada,"agente solo reenvía info, sin cambio nuevo","sin fecha concreta, solo monto de 910 mil"
humano,audioh31-82ee7afd-2spk,rechazo,otra,si,no,neutro,alta,"dice que ya no puede acudir contigo, tiene otro acuerdo",ya tiene acuerdo con otra empresa por menor valor,"ofrece acuerdo a largo plazo, deudor rechaza igual","no se acuerda pago, deudor insiste en rechazar"
humano,audioh32-91b9fd77-1spk,rechazo,desconocimiento_desconfianza,no,no,cordial,alta,afirma que no va a pagar esa deuda,"dice que no le dieron el dinero, solo firmó","transcripción corta, agente no ofrece nada",no se trata ningún medio ni fecha de pago
humano,audioh33-92778da9-2spk,recontacto,otra,no,no,cordial,media,queda pendiente reporte de pago ya realizado,dice que ya pagó la totalidad del acuerdo,agente solo pide reenvío de soporte de pago,solo queda pendiente de validar comprobante
humano,audioh34-93d0abfc-2spk,compromiso_firme,otra,si,si,cordial,alta,"pagará hoy 475.000 pesos, confirma medios",no le había llegado el acuerdo por WhatsApp,agente confirma y corrige número de WhatsApp,"475.000 pesos, pago hoy mismo, medios confirmados"
humano,audioh35-9919c667-1spk,compromiso_firme,desconocimiento_desconfianza,si,si,cordial,alta,"pagará hoy 600.000, segunda cuota de siete",pregunta cómo certificar que son legítimos,ofrece validar con BBVA o documento de cesión,"600.000 pesos hoy, mismos datos de pago"
humano,audioh36-a3383d00-1spk,compromiso_firme,economica,si,si,cordial,alta,acuerda pagar 400.000 el 10 de julio,se enfermó y gastó en medicamentos,agente extiende el plazo hasta el 10 de julio,"400.000 pesos, fecha 10 julio, medios por WhatsApp"
humano,audioh37-ab2ac983-2spk,compromiso_firme,economica,si,si,cordial,media,pagará 480.000 mañana en el banco,"no puede pagar hoy, recién empezó a trabajar",agente reprograma para el día siguiente,"480.000 pesos, mañana, pago directo en el banco"
humano,audioh38-ae0573ba-2spk,compromiso_firme,sin_objecion,no_aplica,si,cordial,alta,pago único 680.000 el 15 de julio,solo preguntas de confianza y otra deuda,"no hubo objeción real, aceptó rápido","convenio Bancolombia 99024, cédula, correo y WhatsApp"
humano,audioh39-b7318057-2spk,compromiso_firme,sin_objecion,no_aplica,si,cordial,alta,"2 cuotas de 650.000, 17 julio y 15 agosto","acepta sin resistencia, solo pregunta fechas",no hubo objeción real,"montos y fechas claros, medios en documento enviado"
humano,audioh40-b954108b-2spk,sin_conclusion,otra,no,no,neutro,alta,familiar dice que la deudora no vive ahí,tercero no da información ni contacto,agente insiste sin ofrecer alternativa,no se logró contactar a la deudora
humano,audioh41-c067f714-2spk,compromiso_firme,logistica,si,si,cordial,media,confirma pago primera cuota 580 mil hoy,"no tiene el correo, pide medios de pago",agente solicita reenvío de acuerdo en PDF,acuerdo con medios de pago enviado por correo
humano,audioh42-c5d3d94f-2spk,recontacto,logistica,no,no,cordial,alta,"está ocupado, pide que lo llamen más tarde",está ocupado en este momento,agente solo deja notificación por WhatsApp,no se trata fecha ni monto de pago
humano,audioh43-ce33bc23-2spk,compromiso_firme,economica,si,si,cordial,alta,"3 cuotas ~360.000, 30 julio/agosto/septiembre",no alcanza a pagar el monto inicial ofrecido,agente ofrece 20% descuento y más cuotas,montos y fechas 30 de cada mes definidos
humano,audioh44-d741fe26-1spk,compromiso_firme,sin_objecion,no_aplica,si,cordial,alta,"3 cuotas de 285.627, fechas agosto-octubre",acepta cerrar la deuda sin resistencia,no hubo objeción real del deudor,"cuotas y fechas 31 ago/sep/oct, acuerdo enviado"
humano,audioh45-e76a6feb-2spk,compromiso_firme,logistica,no,si,cordial,alta,acuerda pagar 110 mil pesos mañana 4 agosto,"está en cuarto frío, no escucha bien","solo reenvía el mismo acuerdo, sin cambio","link de pago en línea, 110 mil, mañana"
humano,audioh46-e7d964af-2spk,sin_conclusion,economica,si,no,cordial,alta,llamada se corta tras ofrecer 30% descuento,no tiene cómo pagar 18 millones de una,agente ofrece 30% descuento y cuotas,transcripción termina sin definir nada
humano,audioh47-e98181dc-2spk,compromiso_firme,sin_objecion,no_aplica,si,cordial,alta,acepta pagar 340.000 el 31 de julio,confirma fecha sin oponer resistencia,no hubo objeción real del deudor,"340.000 pesos, 31 julio, envío por WhatsApp"
humano,audioh48-eaaa5092-1spk,recontacto,economica,si,no,cordial,media,agente pasará propuesta de 300 mil a comité,"está desempleado, no puede pagar el monto",agente ofrece diferir a 12 cuotas más bajas,"depende de aprobación de comité, sin cierre"
humano,audioh49-f613df46-2spk,recontacto,economica,si,no,cordial,alta,queda para retomar conciliación en septiembre,"no tiene empleo, no puede pagar ahora",ofrece 10% descuento y 12 cuotas de 251.000,"sin fecha ni monto concreto, solo estimado a futuro"
humano,audioh50-f75a5ac6-1spk,compromiso_vago,economica,si,no,cordial,media,pacta el sábado pero sin monto exacto claro,"no le ha llegado la plata, quedó mal",agente acepta pactar nueva fecha el sábado,no se especifica canal ni monto exacto de pago
ia,audioi1-07c816c7-2spk,recontacto,economica,no,no,agresivo,alta,dice que llamará cuando tenga el dinero,no cuenta con el dinero ahora,agente solo insiste en formalizar hoy mismo,no se concretó fecha ni pago aceptado
ia,audioi2-0aef8aeb-2spk,sin_conclusion,economica,no,no,neutro,alta,transcripción corta tras pedir monto mensual,no podría acceder a la propuesta ahora,agente repite el mínimo de 4.800.000,"no se define nada, llamada queda inconclusa"
ia,audioi3-12fb0266-2spk,recontacto,economica,si,no,cordial,alta,agente dice que la recontactarán pronto,"vive al día, calamidad médica familiar","ofrece acuerdo largo plazo sin descuento, cuota libre",no se acuerda monto ni fecha final
ia,audioi4-19b3eddf-2spk,sin_conclusion,desconocimiento_desconfianza,no,no,cordial,alta,transcripción se corta mientras explica la deuda,no recuerda haber sacado esa tarjeta,"agente solo explica, no llega a ofertar",no se trató ningún medio ni monto de pago
ia,audioi5-1a132947-2spk,compromiso_firme,desconocimiento_desconfianza,no,si,cordial,media,acepta pagar 2.110.000 el 30 de julio,no recuerda haber sacado esa deuda,"agente solo explica origen, sin nueva oferta","monto 2.110.000, fecha 30 julio, envío por WhatsApp"
ia,audioi6-239a604a-2spk,recontacto,logistica,no,no,cordial,media,"hermano no está, pide número actualizado para llamar",el deudor no está disponible en este momento,"agente solo pide número, sin oferta nueva",no se trató monto ni fecha de pago
ia,audioi7-293e667b-2spk,rechazo,desconocimiento_desconfianza,no,no,neutro,alta,"niega deber dinero, no recuerda préstamo","pregunta qué obligación tiene, dice no debe",agente ignora la duda y repite oferta de script,no se acuerda ningún pago
ia,audioi8-3056dcb7-2spk,compromiso_firme,sin_objecion,no_aplica,si,cordial,alta,acepta pagar 60.000 antes del 13 de agosto,acepta la oferta sin resistencia real,no hubo objeción real del deudor,"monto, fecha límite y envío por WhatsApp/correo"
ia,audioi9-3147bab7-2spk,rechazo,desconocimiento_desconfianza,no,no,cordial,alta,"no es la persona, número equivocado hace años",número no corresponde a esa persona,agente solo se disculpa y retira el número,no hay deuda ni pago que tratar
ia,audioi10-32616618-2spk,rechazo,desconocimiento_desconfianza,no,no,cordial,alta,dice no conocer a la persona buscada,"número equivocado, no conoce a la deudora","agente solo actualiza registros, sin más gestión",no hay deuda ni pago que tratar
ia,audioi11-3350acd3-2spk,compromiso_firme,sin_objecion,no_aplica,no,neutro,media,acepta pago único de 4.310.000 antes del 4 agosto,"acepta rápido, solo pregunta el descuento",no hubo objeción real del deudor,transcripción corta al pedir datos de contacto
ia,audioi12-355812a5-2spk,sin_conclusion,sin_objecion,no_aplica,no,neutro,alta,"deudor nunca responde, agente habla solo",no hay respuesta ni objeción del deudor,"no aplica, sin interacción real","nunca se confirma nada, llamada queda sin datos"
ia,audioi13-3a02fcc2-2spk,recontacto,logistica,no,no,cordial,alta,queda en que mañana confirmarán hora con el titular,quien contesta no es el titular de la deuda,"agente solo reagenda, no cambia oferta","no se acuerda pago, solo recado pendiente"
ia,audioi14-3df056d8-2spk,sin_conclusion,economica,si,no,cordial,alta,transcripción corta tras ofrecer 7% de descuento,dice que no tiene trabajo,agente ofrece máximo descuento del 7%,"no se define pago, transcripción incompleta"
ia,audioi15-3e8b2986-2spk,sin_conclusion,desconocimiento_desconfianza,no,no,neutro,alta,"deudor deja de responder, llamada queda cortada",no reconoce la deuda ni qué la originó,"agente solo explica origen, sin nueva oferta",no se trató ningún pago concreto
ia,audioi16-41269351-2spk,sin_conclusion,sin_objecion,no_aplica,no,neutro,alta,"no hay respuesta, desviada a sistema de grabación",no hubo interacción real con un deudor,"no aplica, sin contacto efectivo",llamada termina sin ningún acuerdo
ia,audioi17-449d76a1-2spk,compromiso_firme,economica,si,si,agresivo,media,acepta pagar 490 mil el 30 de junio,"no tiene la plata hoy, llega en un mes",agente difiere fecha y divide en dos cuotas,"490 mil, 30 junio, información por correo/WhatsApp"
ia,audioi18-589afa5a-2spk,sin_conclusion,desconocimiento_desconfianza,no,no,neutro,alta,deudor insiste que no es la persona buscada,"dice no conocer a quien buscan, confusión de género",agente repite el mismo mensaje sin resolver confusión,transcripción termina sin aclarar ni acordar nada
ia,audioi19-5a16e288-2spk,rechazo,desconocimiento_desconfianza,si,no,neutro,alta,"dice que no pagará un peso más, que embarguen",cuestiona intereses excesivos sobre préstamo original,"ofrece 7% descuento, deudor rechaza igual",no se acuerda ningún pago
ia,audioi20-631a4d16-3spk,sin_conclusion,sin_objecion,no_aplica,no,neutro,alta,"agente habla solo, sin respuestas claras del deudor","no hay objeción articulada, respuestas confusas","no aplica, interacción poco clara",no queda claro si se confirmó algo concreto
ia,audioi21-64a627ae-2spk,sin_conclusion,sin_objecion,no_aplica,no,neutro,alta,"no hay respuesta, desviada a sistema de grabación",no hubo interacción real con un deudor,"no aplica, sin contacto efectivo",llamada termina sin ningún acuerdo
ia,audioi22-66c23ff9-2spk,sin_conclusion,sin_objecion,no_aplica,no,neutro,alta,transcripción corta justo tras plantear la oferta,no se registra respuesta del deudor a la oferta,"no aplica, sin reacción registrada","no se define nada, transcripción incompleta"
ia,audioi23-673f40d5-2spk,recontacto,economica,si,no,cordial,alta,agente dice que lo recontactará pronto,"está desempleado, sin ingresos fijos","ofrece acuerdo largo plazo sin descuento, cuota libre",no se define monto ni fecha de pago
ia,audioi24-6d1ee3b1-2spk,sin_conclusion,economica,no,no,neutro,alta,transcripción corta preguntando cuánto puede pagar,"solo tiene 300 mil, no alcanza el mínimo","agente rechaza los 300 mil, no baja el mínimo",no se logra acordar monto ni fecha
ia,audioi25-6d26bb76-3spk,recontacto,economica,no,no,neutro,alta,agendan llamada para el jueves 13 agosto 5:30pm,el descuento ofrecido le queda muy alto,agente no baja el valor mínimo aprobado,"solo se agenda nueva llamada, sin pago definido"
ia,audioi26-6d8d8dbe-2spk,sin_conclusion,desconocimiento_desconfianza,no,no,neutro,alta,transcripción termina sin respuesta clara del deudor,"pregunta qué entidad es, confundido",agente solo repite la oferta sin aclarar bien,no se confirma ningún acuerdo
ia,audioi27-7350b21e-2spk,sin_conclusion,sin_objecion,no_aplica,no,neutro,alta,"transcripción muy corta, sin datos de la negociación",no se registra objeción articulada,"no aplica, interacción mínima",llamada termina sin ningún detalle de pago
ia,audioi28-79c5d6ae-2spk,recontacto,economica,si,no,neutro,alta,agenda llamada para mañana 24 junio en la tarde,"no tiene los 13.900.000, quiere negociar cuotas",ofrece acuerdo largo plazo con cuota de 500 mil,queda pendiente propuesta final para mañana
ia,audioi29-7a59be10-2spk,sin_conclusion,sin_objecion,no_aplica,no,neutro,alta,transcripción se corta al iniciar la explicación,no se registra ninguna objeción o respuesta,"no aplica, interacción incompleta",no se trata ningún detalle de pago
ia,audioi30-7c826b7f-3spk,compromiso_firme,desconocimiento_desconfianza,no,si,cordial,alta,"3 cuotas de 330.000, 31 ago/sep/oct",pregunta cómo cerciorarse que es del banco,agente solo explica que es asistente virtual,montos y fechas de las 3 cuotas confirmadas
ia,audioi31-7dc52408-2spk,rechazo,logistica,no,no,neutro,alta,"dice que no tiene tiempo, rechaza dos veces",no tiene tiempo para atender la llamada,agente insiste con el mismo guion sin ajustar,"no se acuerda nada, deudor rechaza continuar"
ia,audioi32-7df4a150-2spk,sin_conclusion,otra,no,no,neutro,alta,transcripción se corta presentando opciones de cuotas,no entiende el descuento del 0% ofrecido,"agente solo explica, no cambia la oferta","no se define pago, transcripción incompleta"
ia,audioi33-80b9d804-2spk,sin_conclusion,sin_objecion,no_aplica,no,neutro,alta,transcripción se corta tras plantear la oferta,no se registra respuesta del deudor,"no aplica, sin reacción registrada","no se define nada, transcripción incompleta"
ia,audioi34-8349b881-2spk,sin_conclusion,logistica,no,no,neutro,alta,no logra hablar con la titular de la deuda,"la titular no está, contesta la hija","agente no ofrece nada, solo cuelga",no se trató ningún tema de pago
ia,audioi35-8d9dfa93-2spk,compromiso_firme,logistica,si,si,cordial,alta,"15 cuotas de 60.000, primera el 5 de agosto",solo tiene plata el día 5 y 20 del mes,agente ajusta fecha de pago al 5 de cada mes,"60.000 mensual, fecha 5 de cada mes, info por WhatsApp"
ia,audioi36-8eeab89a-2spk,recontacto,logistica,no,no,neutro,media,familiar dice que estará disponible el fin de semana,la titular no se encuentra en el momento,"agente solo deja nota, sin oferta concreta",no se trató ningún tema de pago
ia,audioi37-925483e1-2spk,compromiso_firme,otra,si,si,cordial,alta,"2 cuotas de 420.000, primera el 8 de julio",reclama que el producto original le quedó mal,ofrece 26% descuento y opción de dos cuotas,"420.000 cada cuota, fecha 8 julio, datos por WhatsApp"
ia,audioi38-9cf48045-2spk,sin_conclusion,desconocimiento_desconfianza,no,no,neutro,alta,"decide llamar directo a la entidad, desconfía de la IA","sospecha que habla con un robot, no confía","agente solo repite guion, no resuelve la desconfianza","cuelga antes de aceptar nada, sin cierre"
ia,audioi39-a64feaf9-2spk,compromiso_firme,economica,si,si,cordial,alta,"acuerdo largo plazo, 400.000 mensual desde 31 julio",no puede pagar 4 millones de una vez,ofrece acuerdo largo plazo con cuota a elección,"400.000 mensual, fecha 31 julio, datos por WhatsApp"
ia,audioi40-b056678f-2spk,sin_conclusion,sin_objecion,no_aplica,no,neutro,alta,llamada cae en sistema de buzón de voz,no hubo interacción real con un deudor,"no aplica, sin contacto efectivo",no se logra ningún acuerdo
ia,audioi41-b1584952-2spk,sin_conclusion,sin_objecion,no_aplica,no,neutro,alta,transcripción corta justo tras plantear la oferta,no se registra respuesta del deudor a la oferta,"no aplica, sin reacción registrada","no se define nada, transcripción incompleta"
ia,audioi42-b97bdab1-2spk,rechazo,desconocimiento_desconfianza,no,no,cordial,alta,dice que el número no es del señor buscado,no reconoce ser la persona de la deuda,agente solo se disculpa y actualiza registros,no hay deuda ni pago que tratar
ia,audioi43-bdc7c768-2spk,compromiso_firme,economica,no,si,cordial,alta,acepta pagar 560.000 antes del 31 de julio,"múltiples problemas financieros, sin liquidez ahora","agente solo da plazo hasta fin de mes, sin nuevo descuento","560.000, fecha 31 julio, envío por correo/WhatsApp"
ia,audioi44-c1a958de-2spk,sin_conclusion,economica,no,no,neutro,alta,transcripción corta mientras agente insiste en cuotas,"solo tiene 200 mil, no tiene el dinero","agente rechaza los 200 mil, insiste en cuotas sin cifras",no se logra acordar monto ni fecha
ia,audioi45-c3d816dd-2spk,sin_conclusion,desconocimiento_desconfianza,no,no,neutro,media,"deudor dice no ser la persona, transcripción se corta",no soy el señor buscado,agente sigue con el guion sin resolver la confusión,"no se trató ningún pago, llamada incompleta"
ia,audioi46-c8b57e01-2spk,compromiso_firme,economica,si,no,cordial,media,acuerdo largo plazo de 2.500.000 mensuales confirmado,no puede pagar hasta septiembre por crisis del sector,ofrece acuerdo largo plazo con cuota a elección,transcripción corta antes de confirmar fecha de inicio
ia,audioi47-da02116f-2spk,compromiso_firme,otra,si,si,cordial,alta,"2 cuotas de 190.000, primera antes del 1 agosto",confunde la deuda con otras obligaciones del banco,agente acepta dividir en dos cuotas,"190.000 cada cuota, fecha 1 agosto, datos por WhatsApp"
ia,audioi49-f55b661d-2spk,compromiso_firme,economica,si,si,cordial,alta,"acuerdo largo plazo, 250.000 mensual desde 31 julio","sostiene dos casas, no tiene trabajo estable",ofrece acuerdo largo plazo con cuota según posibilidad,"250.000 mensual, fecha 31 julio, contacto por llamada"
ia,audioi50-fc9da4d5-2spk,rechazo,desconocimiento_desconfianza,no,no,cordial,alta,"número equivocado, no conoce a la persona buscada","está equivocado, no es la persona indicada",agente solo registra que no fue posible contactar,no hay deuda ni pago que tratar
